"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
144720 8.17704176311685e-10 7.54709822382996e-10 -2.9864629 -3.1070957
144780 8.17313902557471e-10 7.54336907853733e-10 -2.9876534 -3.1083527
144840 8.16662397486463e-10 7.5372462279506e-10 -2.9888439 -3.1096098
144900 8.15749803439173e-10 7.52993035071243e-10 -2.9900344 -3.1108668
144960 8.15099664016359e-10 7.52381920837456e-10 -2.9912249 -3.1121238
145020 8.14711144250738e-10 7.51771506908636e-10 -2.9924153 -3.1133808
145080 8.1406142891514e-10 7.5128113364674e-10 -2.9936057 -3.1146377
145140 8.13151580118119e-10 7.505521937946e-10 -2.9947961 -3.1158947
145200 8.12503913342831e-10 7.49943390309083e-10 -2.9959865 -3.1171516
145260 8.12117596508802e-10 7.49454545621405e-10 -2.9971768 -3.1184086
145320 8.11470350450865e-10 7.48846882265416e-10 -2.9983672 -3.1196655
145380 8.10823720021645e-10 7.48239817093115e-10 -2.9995575 -3.1209224
145440 8.10177932356943e-10 7.47633252987618e-10 -3.0007478 -3.1221793
145500 8.09532757990038e-10 7.47027093337638e-10 -3.001938 -3.1234361
145560 8.08888196043348e-10 7.46421529977788e-10 -3.0031283 -3.124693
145620 8.08244018498072e-10 7.45816657886582e-10 -3.0043185 -3.1259498
145680 8.07600225352821e-10 7.45212380080213e-10 -3.0055087 -3.1272066
145740 8.0695726974316e-10 7.44727490158484e-10 -3.0066989 -3.1284634
145800 8.06315149933922e-10 7.44005317367038e-10 -3.0078891 -3.1297202
145860 8.05673638201705e-10 7.43402626819708e-10 -3.0090792 -3.130977
145920 8.05032507977005e-10 7.42800432323651e-10 -3.0102693 -3.1322338
145980 8.04391759255659e-10 7.42198828494216e-10 -3.0114594 -3.1334905
146040 8.03751842305861e-10 7.41716413184337e-10 -3.0126495 -3.1347473
146100 8.03112530561798e-10 7.40997294494494e-10 -3.0138396 -3.136004
146160 8.02732487166486e-10 7.40515940132313e-10 -3.0150296 -3.1372607
146220 8.01834822131688e-10 7.39798207870276e-10 -3.0162197 -3.1385174
146280 8.01197097997735e-10 7.39199450002026e-10 -3.0174097 -3.1397741
146340 8.0081872216161e-10 7.38719492178735e-10 -3.0185996 -3.1410307
146400 7.999234559169e-10 7.3800340782698e-10 -3.0197896 -3.1422874
146460 7.99545814840137e-10 7.37642602696245e-10 -3.0209795 -3.143544
146520 7.98910150420296e-10 7.37045879664298e-10 -3.0221695 -3.1448006
146580 7.98017050334445e-10 7.36213584412661e-10 -3.0233594 -3.1460572
146640 7.9764084197862e-10 7.35736161527102e-10 -3.0245492 -3.1473138
146700 7.97006973607544e-10 7.35259110876892e-10 -3.0257391 -3.1485704
146760 7.96373924130963e-10 7.34664433794675e-10 -3.0269289 -3.1498269
146820 7.9574102727529e-10 7.33952583125672e-10 -3.0281188 -3.1510835
146880 7.95108505134496e-10 7.33359216271376e-10 -3.0293086 -3.15234
146940 7.94477020609055e-10 7.3288388047802e-10 -3.0304983 -3.1535965
147000 7.9384612980267e-10 7.32291426124624e-10 -3.0316881 -3.154853
147060 7.93215611470476e-10 7.31582117036701e-10 -3.0328778 -3.1561095
147120 7.92585685743429e-10 7.30991058630257e-10 -3.0340676 -3.157366
147180 7.91956351786462e-10 7.30517985684026e-10 -3.0352572 -3.1586224
